---,Name,Classification,Classification2,StaticMesh,Image
10,Annex_A1,wall,basic,StaticMesh'/Game/ModularHouses/Meshes/Wall/Annex/SM_Front_Annex_A1.SM_Front_Annex_A1',Texture2D'/Game/AssetDataList/Image/Annex_A1.Annex_A1'
11,AppleGreen,food,fruit,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_AppleGreen.SM_AppleGreen',Texture2D'/Game/AssetDataList/Image/AppleGreen.AppleGreen'
12,AppleRed,food,fruit,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_AppleRed.SM_AppleRed',Texture2D'/Game/AssetDataList/Image/AppleRed.AppleRed'
13,AppleRed_Full,food,fruit,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_AppleRed_Stack.SM_AppleRed_Stack',Texture2D'/Game/AssetDataList/Image/AppleRed_Full.AppleRed_Full'
14,AppleYellow,food,fruit,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_AppleYellow.SM_AppleYellow',Texture2D'/Game/AssetDataList/Image/AppleYellow.AppleYellow'
15,AppleYellow_Full,food,fruit,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_AppleYellow_Stack.SM_AppleYellow_Stack',Texture2D'/Game/AssetDataList/Image/AppleYellow_Full.AppleYellow_Full'
16,ArborioRice,food,groceries,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_ArborioRice.SM_ArborioRice',Texture2D'/Game/AssetDataList/Image/ArborioRice.ArborioRice'
17,Armchair,furniture,chair,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_Armchair.SM_Armchair',Texture2D'/Game/AssetDataList/Image/SM_Armchair.SM_Armchair'
18,Aspen_Tree,plants,tree,StaticMesh'/Game/SoulCave/Environment/Meshes/Nature/SM_Aspen_Tree_01.SM_Aspen_Tree_01',Texture2D'/Game/AssetDataList/Image/Aspen_Tree_01.Aspen_Tree_01'
19,BabyBed,room,baby,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/BabyBed/SM_BabyBed.SM_BabyBed',Texture2D'/Game/AssetDataList/Image/BabyBed.BabyBed'
20,BabyBed_Drawer,room,baby,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/BabyBed/SM_BabyBed_Drawer.SM_BabyBed_Drawer',Texture2D'/Game/AssetDataList/Image/BabyBed_Drawer.BabyBed_Drawer'
21,Bag,item,itemetc,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Bag.SM_Bag',Texture2D'/Game/AssetDataList/Image/Bag.Bag'
22,Bags,item,itemetc,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Bags.SM_Bags',Texture2D'/Game/AssetDataList/Image/Bags.Bags'
23,Baguette,food,bread,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_Baguette.SM_Baguette',Texture2D'/Game/AssetDataList/Image/Baguette.Baguette'
24,BakeryConter0,item,counter,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_BakeryCounter01.SM_BakeryCounter01',Texture2D'/Game/AssetDataList/Image/BakeryCounter1.BakeryCounter1'
25,BakeryConter1,item,counter,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_BakeryCounter02.SM_BakeryCounter02',Texture2D'/Game/AssetDataList/Image/BakeryCounter2.BakeryCounter2'
26,BakeryConter2,item,counter,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_BakeryCounter02_Door.SM_BakeryCounter02_Door',Texture2D'/Game/AssetDataList/Image/BakeryCounter2_Door.BakeryCounter2_Door'
27,BakeryMenu,item,itemetc,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_BakeryMenu.SM_BakeryMenu',Texture2D'/Game/AssetDataList/Image/Bakerymenu.Bakerymenu'
28,BakeryRack,item,counter,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_BakeryRack.SM_BakeryRack',Texture2D'/Game/AssetDataList/Image/BakeryRack.BakeryRack'
29,BakeryStand,item,stand,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_BakeryStand01.SM_BakeryStand01',Texture2D'/Game/AssetDataList/Image/BakeryStand.BakeryStand'
30,Bale,item,itemetc,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Bale.SM_Bale',Texture2D'/Game/AssetDataList/Image/Bale.Bale'
31,BallLamp,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_BallLamp.SM_BallLamp',Texture2D'/Game/AssetDataList/Image/BallLamp.BallLamp'
32,Balsam,item,living,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/BathroomWare/SM_Balsam.SM_Balsam',Texture2D'/Game/AssetDataList/Image/Balsam.Balsam'
33,BambooPot,plants,pot,StaticMesh'/Game/OfficeScene/Meshes/SM_BambooPot.SM_BambooPot',Texture2D'/Game/AssetDataList/Image/BambooPot.BambooPot'
34,Banana,food,fruit,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_Banana_01.SM_Banana_01',Texture2D'/Game/AssetDataList/Image/Banana1.Banana1'
35,Barrel,item,itemetc,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Barrel.SM_Barrel',Texture2D'/Game/AssetDataList/Image/Barrel.Barrel'
36,Barrel_Big,item,itemetc,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Barrel_Big.SM_Barrel_Big',Texture2D'/Game/AssetDataList/Image/Barrel_Big.Barrel_Big'
37,Barrel_cap,item,itemetc,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Barrel_cap.SM_Barrel_cap',Texture2D'/Game/AssetDataList/Image/Barrel_cap.Barrel_cap'
38,Basil,plants,plant,StaticMesh'/Game/HouseplantPack/Geometry/Plants/SM_basil.SM_basil',Texture2D'/Game/AssetDataList/Image/Basil.Basil'
39,BasilPot,plants,pot,StaticMesh'/Game/HouseplantPack/Geometry/SM_MERGED_basilPlant.SM_MERGED_basilPlant',Texture2D'/Game/AssetDataList/Image/BasilPot.BasilPot'
40,BathroomSink,room,bath,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/BathroomSink/SM_BathroomSink.SM_BathroomSink',Texture2D'/Game/AssetDataList/Image/BathroomSink.BathroomSink'
41,Bathtub,room,bath,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Bathtub.SM_Bathtub',Texture2D'/Game/AssetDataList/Image/Bathtub.Bathtub'
42,BathTub_long,room,bath,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_BathTub_long.SM_BathTub_long',Texture2D'/Game/AssetDataList/Image/SM_BathTub_long.SM_BathTub_long'
43,BCSBiscuit0,food,snack,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_BCSBiscuit1.SM_BCSBiscuit1',Texture2D'/Game/AssetDataList/Image/BCS_Biscuit1.BCS_Biscuit1'
44,BCSBiscuit1,food,snack,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_BCSBiscuit2.SM_BCSBiscuit2',Texture2D'/Game/AssetDataList/Image/BCS_Biscuit2.BCS_Biscuit2'
45,BCSBiscuit2,food,snack,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_BCSBiscuit3.SM_BCSBiscuit3',Texture2D'/Game/AssetDataList/Image/BCS_Biscuit3.BCS_Biscuit3'
46,BCSChocolate0,food,snack,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_BCSChocolate1.SM_BCSChocolate1',Texture2D'/Game/AssetDataList/Image/BCS_Chocolate1.BCS_Chocolate1'
47,BCSChocolate1,food,snack,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_BCSChocolate2.SM_BCSChocolate2',Texture2D'/Game/AssetDataList/Image/BCS_Chocolate2.BCS_Chocolate2'
48,BCSChocolate2,food,snack,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_BCSChocolate3.SM_BCSChocolate3',Texture2D'/Game/AssetDataList/Image/BCS_Chocolate3.BCS_Chocolate3'
49,BCSCookie0,food,snack,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_BCSCookie1.SM_BCSCookie1',Texture2D'/Game/AssetDataList/Image/BCS_Cookie1.BCS_Cookie1'
50,BCSCookie1,food,snack,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_BCSCookie2.SM_BCSCookie2',Texture2D'/Game/AssetDataList/Image/BCS_Cookie2.BCS_Cookie2'
51,BCSCookie2,food,snack,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_BCSCookie3.SM_BCSCookie3',Texture2D'/Game/AssetDataList/Image/BCS_Cookie3.BCS_Cookie3'
52,BCSCupcake,food,bread,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_BCSCupcake.SM_BCSCupcake',Texture2D'/Game/AssetDataList/Image/BCS_CupCake.BCS_CupCake'
53,BeanBag,furniture,furnitureetc,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_BeanBag.SM_BeanBag',Texture2D'/Game/AssetDataList/Image/SM_BeanBag.SM_BeanBag'
54,Bed,furniture,bed,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Bed.SM_Bed',Texture2D'/Game/AssetDataList/Image/Bed.Bed'
55,BedDrawer,furniture,cabinet,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Bed_Drawer.SM_Bed_Drawer',Texture2D'/Game/AssetDataList/Image/BedDrawer.BedDrawer'
56,BedDrawer_Open,furniture,cabinet,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Bed_Drawer_Openable_Part.SM_Bed_Drawer_Openable_Part',Texture2D'/Game/AssetDataList/Image/BedDrawer_Openable.BedDrawer_Openable'
57,BedLamp0,furniture,lamp,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Bed_Lamp_1.SM_Bed_Lamp_1',Texture2D'/Game/AssetDataList/Image/BedLamp0.BedLamp0'
58,BedLamp1,furniture,lamp,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Bed_lamp_3.SM_Bed_lamp_3',Texture2D'/Game/AssetDataList/Image/BedLamp1.BedLamp1'
59,BedsideTable,furniture,table,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/BedsideTable/SM_BedsideTable.SM_BedsideTable',Texture2D'/Game/AssetDataList/Image/BedsideTable.BedsideTable'
60,BedsideTable_Drawer,furniture,table,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/BedsideTable/SM_BedsideTable_Drawer.SM_BedsideTable_Drawer',Texture2D'/Game/AssetDataList/Image/BedsideTable_Drawer.BedsideTable_Drawer'
61,Bedtable,furniture,table,StaticMesh'/Game/FreeFurniturePack/Meshes/SM_Bed_Table.SM_Bed_Table',Texture2D'/Game/AssetDataList/Image/Bedtable.Bedtable'
62,BeefBroth,food,meat,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_BeefBroth.SM_BeefBroth',Texture2D'/Game/AssetDataList/Image/BCS_BeefBroth.BCS_BeefBroth'
63,Beer,food,alcohol,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_MyBeer.SM_MyBeer',Texture2D'/Game/AssetDataList/Image/Beer.Beer'
64,Bench0,room,garden,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Bench.SM_Bench',Texture2D'/Game/AssetDataList/Image/Bench.Bench'
65,Bench1,furniture,chair,StaticMesh'/Game/MMSupermarket/Props/Mesh/SM_Bench01.SM_Bench01',Texture2D'/Game/AssetDataList/Image/Bench1.Bench1'
66,Bench2,furniture,chair,StaticMesh'/Game/MMSupermarket/Props/Mesh/SM_Bench02.SM_Bench02',Texture2D'/Game/AssetDataList/Image/Bench2.Bench2'
67,BirchPic,furniture,picture,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_BirchPic.SM_BirchPic',Texture2D'/Game/AssetDataList/Image/SM_BirchPic.SM_BirchPic'
68,BirdsNestPlant,plants,pot,StaticMesh'/Game/OfficeScene/Meshes/SM_BirdsNestPlant.SM_BirdsNestPlant',Texture2D'/Game/AssetDataList/Image/BirdsNestPlant.BirdsNestPlant'
69,Bleach0,item,living,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CP2Bleach1.SM_CP2Bleach1',Texture2D'/Game/AssetDataList/Image/Bleach1.Bleach1'
70,Bleach1,item,living,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_CP2Bleach2.SM_CP2Bleach2',Texture2D'/Game/AssetDataList/Image/Bleach2.Bleach2'
71,Blinds_narrow,furniture,blind,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_Blinds_narrow.SM_Blinds_narrow',Texture2D'/Game/AssetDataList/Image/SM_Blinds_narrow.SM_Blinds_narrow'
72,Blinds_wide,furniture,blind,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_Blinds_wide.SM_Blinds_wide',Texture2D'/Game/AssetDataList/Image/SM_Blinds_wide.SM_Blinds_wide'
73,Book0,item,book,StaticMesh'/Game/OfficeScene/Meshes/SM_Book1.SM_Book1',Texture2D'/Game/AssetDataList/Image/Book1.Book1'
74,Book1,item,book,StaticMesh'/Game/OfficeScene/Meshes/SM_Book2.SM_Book2',Texture2D'/Game/AssetDataList/Image/Book2.Book2'
75,Book2,item,book,StaticMesh'/Game/OfficeScene/Meshes/SM_Book4.SM_Book4',Texture2D'/Game/AssetDataList/Image/Book4.Book4'
76,Book3,item,book,StaticMesh'/Game/OfficeScene/Meshes/SM_Book5.SM_Book5',Texture2D'/Game/AssetDataList/Image/Book5.Book5'
77,Book4,item,book,StaticMesh'/Game/OfficeScene/Meshes/SM_Book6.SM_Book6',Texture2D'/Game/AssetDataList/Image/Book6.Book6'
78,Book5,item,book,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/Books/SM_BookA.SM_BookA',Texture2D'/Game/AssetDataList/Image/BookA.BookA'
79,Book6,item,book,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/Books/SM_BookF.SM_BookF',Texture2D'/Game/AssetDataList/Image/BookF.BookF'
80,BooksSetA,item,book,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/Books/SM_BooksSetA.SM_BooksSetA',Texture2D'/Game/AssetDataList/Image/BooksSetA.BooksSetA'
81,Bottle0,item,living,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Bottle_1.SM_Bottle_1',Texture2D'/Game/AssetDataList/Image/Bottle_1.Bottle_1'
82,Bottle1,item,living,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Bottle_2.SM_Bottle_2',Texture2D'/Game/AssetDataList/Image/Bottle_2.Bottle_2'
83,Bottle2,item,living,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Bottle_3.SM_Bottle_3',Texture2D'/Game/AssetDataList/Image/Bottle_3.Bottle_3'
84,Bottom_Block_50x50cm,room,roometc,StaticMesh'/Game/ModularFantasyHouse/Meshes/SM_Bottom_Block_50x50cm.SM_Bottom_Block_50x50cm',Texture2D'/Game/AssetDataList/Image/Bottom_Block_50x50cm.Bottom_Block_50x50cm'
85,BoxBig,item,itemetc,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/Boxes/SM_BoxBig.SM_BoxBig',Texture2D'/Game/AssetDataList/Image/BoxBig.BoxBig'
86,BreadShelf,item,counter,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_BreadShelf.SM_BreadShelf',Texture2D'/Game/AssetDataList/Image/BreadShelf.BreadShelf'
87,Bucket,room,garden,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Bucket_1.SM_Bucket_1',Texture2D'/Game/AssetDataList/Image/Bucket_1.Bucket_1'
88,Bulb0,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_Bulb_01.SM_Bulb_01',Texture2D'/Game/AssetDataList/Image/Bulb.Bulb'
89,Bulb1,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_Bulb_02.SM_Bulb_02',Texture2D'/Game/AssetDataList/Image/Bulb1.Bulb1'
90,Bulb2,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_Bulb_03.SM_Bulb_03',Texture2D'/Game/AssetDataList/Image/Bulb2.Bulb2'
91,Bunny,item,toy,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_Bunny.SM_Bunny',Texture2D'/Game/AssetDataList/Image/SM_Bunny.SM_Bunny'
92,Bush0,plants,tree,StaticMesh'/Game/NaturePackage/Meshes/RescaledFlora/bush01.bush01',Texture2D'/Game/AssetDataList/Image/bush01.bush01'
93,Bush1,plants,tree,StaticMesh'/Game/NaturePackage/Meshes/flora/bush02.bush02',Texture2D'/Game/AssetDataList/Image/bush02.bush02'
94,Bush2,plants,tree,StaticMesh'/Game/NaturePackage/Meshes/flora/bush05.bush05',Texture2D'/Game/AssetDataList/Image/bush03.bush03'
95,Cabinet,furniture,cabinet,StaticMesh'/Game/OfficeScene/Meshes/SM_Cabinet.SM_Cabinet',Texture2D'/Game/AssetDataList/Image/Cabinet.Cabinet'
96,CableTray,item,counter,StaticMesh'/Game/MMSupermarket/Props/Mesh/SM_CableTray_01.SM_CableTray_01',Texture2D'/Game/AssetDataList/Image/CableTray.CableTray'
97,Cactus0,plants,plant,StaticMesh'/Game/HouseplantPack/Geometry/Plants/SM_cactus.SM_cactus',Texture2D'/Game/AssetDataList/Image/cactus0.cactus0'
98,Cactus1,plants,plant,StaticMesh'/Game/HouseplantPack/Geometry/Plants/SM_cactus04.SM_cactus04',Texture2D'/Game/AssetDataList/Image/cactus1.cactus1'
99,CactusPot,plants,pot,StaticMesh'/Game/HouseplantPack/Geometry/SM_MERGED_cactus.SM_MERGED_cactus',Texture2D'/Game/AssetDataList/Image/cactusPot.cactusPot'
100,Cake0,food,bread,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_Cake02.SM_Cake02',Texture2D'/Game/AssetDataList/Image/Cake1.Cake1'
101,Cake1,food,bread,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_Cake03.SM_Cake03',Texture2D'/Game/AssetDataList/Image/Cake2.Cake2'
102,CakeTray,item,counter,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_CakeTray.SM_CakeTray',Texture2D'/Game/AssetDataList/Image/CakeTray.CakeTray'
103,Calculator,item,itemetc,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/Deskware/SM_Calculator.SM_Calculator',Texture2D'/Game/AssetDataList/Image/Calculator.Calculator'
104,Candle,item,living,StaticMesh'/Game/ModularFantasyHouse/Meshes/Props/SM_Candle_1.SM_Candle_1',Texture2D'/Game/AssetDataList/Image/Candle_1.Candle_1'
105,CandleBig,item,itemetc,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_CandleBig.SM_CandleBig',Texture2D'/Game/AssetDataList/Image/SM_CandleBig.SM_CandleBig'
106,CandleSmall,item,itemetc,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_CandleSmall.SM_CandleSmall',Texture2D'/Game/AssetDataList/Image/SM_CandleSmall.SM_CandleSmall'
107,CannaFlower,plants,flower,StaticMesh'/Game/HouseplantPack/Geometry/Plants/SM_cannaFlower.SM_cannaFlower',Texture2D'/Game/AssetDataList/Image/CannaFlower.CannaFlower'
108,CannaFlowerPot,plants,pot,StaticMesh'/Game/HouseplantPack/Geometry/SM_MERGED_cannaFlower.SM_MERGED_cannaFlower',Texture2D'/Game/AssetDataList/Image/CannaFlowerPot.CannaFlowerPot'
109,Carpet0,furniture,furnitureetc,StaticMesh'/Game/DiningSets/Meshes/SM_Carpet01.SM_Carpet01',Texture2D'/Game/AssetDataList/Image/carpet01.carpet01'
110,Carpet1,furniture,furnitureetc,StaticMesh'/Game/DiningSets/Meshes/SM_Carpet02.SM_Carpet02',Texture2D'/Game/AssetDataList/Image/carpet02.carpet02'
111,CarpetRound,item,living,StaticMesh'/Game/HQ_ResidentialHouse/Meshes/SM_CarpetRound.SM_CarpetRound',Texture2D'/Game/AssetDataList/Image/SM_CarpetRound.SM_CarpetRound'
112,Cart,item,itemetc,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_Cart.SM_Cart',Texture2D'/Game/AssetDataList/Image/ShoppingCart.ShoppingCart'
113,CashRegister,item,itemetc,StaticMesh'/Game/MMSupermarket/Equipment/Mesh/SM_CashRegister.SM_CashRegister',Texture2D'/Game/AssetDataList/Image/CashRegister.CashRegister'
114,CatFood0,item,itemetc,StaticMesh'/Game/MMSupermarket/Products/Mesh/SM_PFCatFood1.SM_PFCatFood1',Texture2D'/Game/AssetDataList/Image/CatFood1.CatFood1'
115,Cave_Arches,wall,archi,StaticMesh'/Game/SoulCave/Environment/Meshes/Building/SM_Cave_Arches.SM_Cave_Arches',Texture2D'/Game/AssetDataList/Image/Cave_Arches.Cave_Arches'
116,Cave_Brick_Optimization0,plants,rock,StaticMesh'/Game/SoulCave/Environment/Meshes/Bricks/SM_Cave_Brick_Optimization02.SM_Cave_Brick_Optimization02',Texture2D'/Game/AssetDataList/Image/Cave_Brick_Optimization02.Cave_Brick_Optimization02'
117,Cave_Brick_Optimization1,plants,rock,StaticMesh'/Game/SoulCave/Environment/Meshes/Bricks/SM_Cave_Brick_Optimization03.SM_Cave_Brick_Optimization03',Texture2D'/Game/AssetDataList/Image/Cave_Brick_Optimization03.Cave_Brick_Optimization03'
118,Cave_Brick_Pile,plants,rock,StaticMesh'/Game/SoulCave/Environment/Meshes/Bricks/SM_Cave_Brick_Pile02.SM_Cave_Brick_Pile02',Texture2D'/Game/AssetDataList/Image/Cave_Brick_Pile02.Cave_Brick_Pile02'
119,Cave_Brick0,plants,rock,StaticMesh'/Game/SoulCave/Environment/Meshes/Bricks/SM_Cave_Brick_01c.SM_Cave_Brick_01c',Texture2D'/Game/AssetDataList/Image/Cave_Brick_01c.Cave_Brick_01c'
120,Cave_Brick1,plants,rock,StaticMesh'/Game/SoulCave/Environment/Meshes/Bricks/SM_Cave_Brick_01e.SM_Cave_Brick_01e',Texture2D'/Game/AssetDataList/Image/Cave_Brick_01e.Cave_Brick_01e'
121,Cave_Grass,plants,grass,StaticMesh'/Game/SoulCave/Environment/Meshes/Nature/SM_Cave_Grass01.SM_Cave_Grass01',Texture2D'/Game/AssetDataList/Image/Cave_Grass01.Cave_Grass01'
122,Cave_Leaf_Pile0,plants,leaves,StaticMesh'/Game/SoulCave/Environment/Meshes/Nature/SM_Cave_Leaf_Pile01.SM_Cave_Leaf_Pile01',Texture2D'/Game/AssetDataList/Image/Cave_Leaf_Pile01.Cave_Leaf_Pile01'
123,Cave_Leaf_Pile1,plants,leaves,StaticMesh'/Game/SoulCave/Environment/Meshes/Nature/SM_Cave_Leaf_Pile02.SM_Cave_Leaf_Pile02',Texture2D'/Game/AssetDataList/Image/Cave_Leaf_Pile02.Cave_Leaf_Pile02'
124,Cave_Leaf_Pile2,plants,leaves,StaticMesh'/Game/SoulCave/Environment/Meshes/Nature/SM_Cave_Leaf_Pile03_1.SM_Cave_Leaf_Pile03_1',Texture2D'/Game/AssetDataList/Image/Cave_Leaf_Pile03_1.Cave_Leaf_Pile03_1'
125,Cave_Pillar_NoFlag,wall,stone,StaticMesh'/Game/SoulCave/Environment/Meshes/Building/SM_Cave_Pillar_NoFlag.SM_Cave_Pillar_NoFlag',Texture2D'/Game/AssetDataList/Image/Cave_Pillar_NoFlag.Cave_Pillar_NoFlag'
126,Cave_Pillars_NoFlag,wall,stone,StaticMesh'/Game/SoulCave/Environment/Meshes/Building/SM_Cave_Pillars_NoFlag.SM_Cave_Pillars_NoFlag',Texture2D'/Game/AssetDataList/Image/Cave_Pillars_NoFlag.Cave_Pillars_NoFlag'
127,Cave_Rock_Pillar_Broken01a,wall,stone,StaticMesh'/Game/SoulCave/Environment/Meshes/Building/SM_Cave_Rock_Pillar_Broken01a.SM_Cave_Rock_Pillar_Broken01a',Texture2D'/Game/AssetDataList/Image/Cave_Rock_Pillar_Broken01a.Cave_Rock_Pillar_Broken01a'
128,Cave_Rock_Pillar01REDO,wall,stone,StaticMesh'/Game/SoulCave/Environment/Meshes/Building/SM_Cave_Rock_Pillar01REDO.SM_Cave_Rock_Pillar01REDO',Texture2D'/Game/AssetDataList/Image/Cave_Rock_Pillar01REDO.Cave_Rock_Pillar01REDO'
129,Cave_Rock_PillarBroken01b,wall,stone,StaticMesh'/Game/SoulCave/Environment/Meshes/Building/SM_Cave_Rock_PillarBroken01b.SM_Cave_Rock_PillarBroken01b',Texture2D'/Game/AssetDataList/Image/Cave_Rock_PillarBroken01b.Cave_Rock_PillarBroken01b'
130,Cave_Statue,wall,archi,StaticMesh'/Game/SoulCave/Environment/Meshes/Building/SM_Cave_Statue_01.SM_Cave_Statue_01',Texture2D'/Game/AssetDataList/Image/Cave_Statue_01.Cave_Statue_01'
131,Cave_Statue_Torso,wall,archi,StaticMesh'/Game/SoulCave/Environment/Meshes/Building/SM_Cave_Statue_Torso.SM_Cave_Statue_Torso',Texture2D'/Game/AssetDataList/Image/Cave_Statue_Torso.Cave_Statue_Torso'
132,CeilingLamp0,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_CeilingLamp_01.SM_CeilingLamp_01',Texture2D'/Game/AssetDataList/Image/CeilingLamp0.CeilingLamp0'
133,CeilingLamp1,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_CeilingLamp_02.SM_CeilingLamp_02',Texture2D'/Game/AssetDataList/Image/CeilingLamp1.CeilingLamp1'
134,CeilingLamp2,furniture,lamp,StaticMesh'/Game/InteractiveLights/Mesh/SM_CeilingLamp_03.SM_CeilingLamp_03',Texture2D'/Game/AssetDataList/Image/CeilingLamp2.CeilingLamp2'
